No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0569,ダストダス,Garbodor,どく,Poison,,,80,95,82,60,82,75,155,115,102,80,102,95
0571,ゾロアーク（RFあり）,ゾロアーク（RFあり）,あく,Dark,,,60,105,60,120,60,105,135,125,80,140,80,125
0579,ランクルス,Reuniclus,エスパー,Psychic,,,110,65,75,125,85,30,185,85,95,145,105,50
0584,バイバニラ,Vanilluxe,こおり,Ice,,,71,95,85,110,95,79,146,115,105,130,115,99
0587,エモンガ,Emolga,でんき,Electric,ひこう,Flying,55,75,60,75,60,103,130,95,80,95,80,123
0609,シャンデラ,Chandelure,ゴースト,Ghost,ほのお,Fire,60,55,90,145,90,80,135,75,110,165,110,100
0609,メガシャンデラ,メガシャンデラ,ゴースト,Ghost,ほのお,Fire,60,75,110,175,110,90,135,95,130,195,130,110
0614,ツンベアー,Beartic,こおり,Ice,,,95,130,80,70,80,50,170,150,100,90,100,70
0618,マッギョ（RFあり）,マッギョ（RFあり）,じめん,Ground,でんき,Electric,109,66,84,81,99,32,184,86,104,101,119,52
0623,ゴルーグ,Golurk,じめん,Ground,ゴースト,Ghost,89,124,80,55,80,55,164,144,100,75,100,75
0623,メガゴルーグ,メガゴルーグ,じめん,Ground,ゴースト,Ghost,89,159,105,70,105,55,164,179,125,90,125,75
0635,サザンドラ,Hydreigon,あく,Dark,ドラゴン,Dragon,92,105,90,125,90,98,167,125,110,145,110,118
0637,ウルガモス,Volcarona,むし,Bug,ほのお,Fire,85,60,65,135,105,100,160,80,85,155,125,120
0497,ジャローダ,Serperior,くさ,Grass,,,75,75,95,75,95,113,150,95,115,95,115,133
0500,エンブオー,Emboar,ほのお,Fire,かくとう,Fighting,110,123,65,100,65,65,185,143,85,120,85,85
0500,メガエンブオー,メガエンブオー,ほのお,Fire,かくとう,Fighting,110,148,75,110,110,75,185,168,95,130,130,95
0503,ダイケンキ（RFあり）,ダイケンキ（RFあり）,みず,Water,,,95,100,85,108,70,70,170,120,105,128,90,90
0505,ミルホッグ,Watchog,ノーマル,Normal,,,60,85,69,60,69,77,135,105,89,80,89,97
0510,レパルダス,Liepard,あく,Dark,,,64,88,50,88,50,106,139,108,70,108,70,126
0512,ヤナッキー,Simisage,くさ,Grass,,,75,98,63,98,63,101,150,118,83,118,83,121
0514,バオッキー,Simisear,ほのお,Fire,,,75,98,63,98,63,101,150,118,83,118,83,121
0516,ヒヤッキー,Simipour,みず,Water,,,75,98,63,98,63,101,150,118,83,118,83,121
0530,ドリュウズ,Excadrill,じめん,Ground,はがね,,110,135,60,50,65,88,185,155,80,70,85,108
0530,メガドリュウズ,メガドリュウズ,じめん,Ground,はがね,,110,165,100,65,65,103,185,185,120,85,85,123
0531,タブンネ,Audino,ノーマル,Normal,,,103,60,86,60,86,50,178,80,106,80,106,70
0531,メガタブンネ,メガタブンネ,ノーマル,Normal,フェアリー,Fairy,103,60,126,80,126,50,178,80,146,100,146,70
0534,ローブシン,Conkeldurr,かくとう,Fighting,,,105,140,95,55,65,45,180,160,115,75,85,65
0547,エルフーン,Whimsicott,くさ,Grass,フェアリー,Fairy,60,67,85,77,75,116,135,87,105,97,95,136
0553,ワルビアル,Krookodile,じめん,Ground,あく,Dark,95,117,80,65,70,92,170,137,100,85,90,112
0563,デスカーン,Cofagrigus,ゴースト,Ghost,,,58,50,145,95,105,30,133,70,165,115,125,50
0569,ダストダス,Garbodor,どく,Poison,,,80,95,82,60,82,75,155,115,102,80,102,95
0571,ゾロアーク（RFあり）,ゾロアーク（RFあり）,あく,Dark,,,60,105,60,120,60,105,135,125,80,140,80,125
0579,ランクルス,Reuniclus,エスパー,Psychic,,,110,65,75,125,85,30,185,85,95,145,105,50
0584,バイバニラ,Vanilluxe,こおり,Ice,,,71,95,85,110,95,79,146,115,105,130,115,99
0587,エモンガ,Emolga,でんき,Electric,ひこう,Flying,55,75,60,75,60,103,130,95,80,95,80,123
0609,シャンデラ,Chandelure,ゴースト,Ghost,ほのお,Fire,60,55,90,145,90,80,135,75,110,165,110,100
0609,メガシャンデラ,メガシャンデラ,ゴースト,Ghost,ほのお,Fire,60,75,110,175,110,90,135,95,130,195,130,110
0614,ツンベアー,Beartic,こおり,Ice,,,95,130,80,70,80,50,170,150,100,90,100,70
0618,マッギョ（RFあり）,マッギョ（RFあり）,じめん,Ground,でんき,Electric,109,66,84,81,99,32,184,86,104,101,119,52
0623,ゴルーグ,Golurk,じめん,Ground,ゴースト,Ghost,89,124,80,55,80,55,164,144,100,75,100,75
0623,メガゴルーグ,メガゴルーグ,じめん,Ground,ゴースト,Ghost,89,159,105,70,105,55,164,179,125,90,125,75
0635,サザンドラ,Hydreigon,あく,Dark,ドラゴン,Dragon,92,105,90,125,90,98,167,125,110,145,110,118
0637,ウルガモス,Volcarona,むし,Bug,ほのお,Fire,85,60,65,135,105,100,160,80,85,155,125,120
