ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S,特性_日本語,特性_英語
メガピジョット,メガピジョット,ノーマル,Normal,ひこう,Flying,83,80,80,135,80,121,158,100,100,155,100,141,"ちどりあし,ノーガード,すてみ,はとむね,トレース,あめうけざら,かたやぶり,へんげんじざい,すながくれ,あめふらし,するどいめ","Tangled feet,No guard,Reckless,Big pecks,Trace,Rain dish,Mold breaker,Protean,Sand veil,Drizzle,Keen eye"
アーボック,Arbok,どく,Poison,,,60,95,69,65,79,80,135,115,89,85,99,100,"すりぬけ,じきゅうりょく,すいすい,まけんき,マジックミラー,どくのトゲ,じんばいったい,いかく,きんちょうかん,せいぎのこころ,だっぴ","Infiltrator,Stamina,Swift swim,Defiant,Magic bounce,Poison point,As one,Intimidate,Unnerve,Justified,Shed skin"
ピカチュウ,Pikachu,でんき,Electric,,,35,55,40,50,50,90,110,75,60,70,70,110,"せいでんき,テレパシー,さめはだ,まけんき,あまのじゃく,かたやぶり,サーフテール,ひらいしん,いかく","Static,Telepathy,Rough skin,Defiant,Contrary,Mold breaker,Surge surfer,Lightning rod,Intimidate"
ライチュウ（RFあり）,ライチュウ（RFあり）,でんき,Electric,,,60,90,55,90,80,110,135,110,75,110,100,130,"サーフテール,せいでんき,トレース,ひらいしん","Surge surfer,Static,Trace,Lightning rod"
ピクシー,Clefable,フェアリー,Fairy,,,95,70,73,95,90,60,170,90,93,115,110,80,"きけんよち,すてみ,もらいび,さめはだ,ゆうばく,トレース,いやしのこころ,マジックミラー,もうか,メロメロボディ,かたやぶり,ほうし,ひらいしん,マジックガード,しめりけ,てんねん","Anticipation,Reckless,Flash fire,Rough skin,Aftermath,Trace,Healer,Magic bounce,Blaze,Cute charm,Mold breaker,Effect spore,Lightning rod,Magic guard,Damp,Unaware"
メガピクシー,メガピクシー,フェアリー,Fairy,ひこう,Flying,95,80,93,135,110,70,170,100,113,155,130,90,"きけんよち,すてみ,もらいび,さめはだ,ゆうばく,トレース,いやしのこころ,マジックミラー,もうか,メロメロボディ,かたやぶり,ほうし,ひらいしん,マジックガード,しめりけ,てんねん","Anticipation,Reckless,Flash fire,Rough skin,Aftermath,Trace,Healer,Magic bounce,Blaze,Cute charm,Mold breaker,Effect spore,Lightning rod,Magic guard,Damp,Unaware"
キュウコン（RFあり）,キュウコン（RFあり）,ほのお,Fire,,,73,76,75,81,100,100,148,96,95,101,120,120,"ひでり,サンパワー,ゆきふらし,もらいび,しろいけむり,いたずらごころ,トレース,ようりょくそ,ゆきがくれ,こんじょう,ほうし,シェルアーマー","Drought,Solar power,Snow warning,Flash fire,White smoke,Prankster,Trace,Chlorophyll,Snow cloak,Guts,Effect spore,Shell armor"
ウインディ（RFあり）,ウインディ（RFあり）,ほのお,Fire,,,90,110,80,100,80,95,165,130,100,120,100,115,"ぼうおん,ばけのかわ,ぼうじん,もらいび,ねつこうかん,まけんき,トレース,いしあたま,もうか,こんじょう,ほうし,かちき,せいぎのこころ,いかく","Soundproof,Disguise,Overcoat,Flash fire,Thermal exchange,Defiant,Trace,Rock head,Blaze,Guts,Effect spore,Competitive,Justified,Intimidate"
フーディン,Alakazam,エスパー,Psychic,,,55,50,45,135,95,120,130,70,65,155,115,140,"とびだすなかみ,せいしんりょく,いたずらごころ,しんりょく,トレース,マジックミラー,マジックガード,シンクロ,いかく,ぶきよう","Innards out,Inner focus,Prankster,Overgrow,Trace,Magic bounce,Magic guard,Synchronize,Intimidate,Klutz"
メガフーディン,メガフーディン,エスパー,Psychic,,,55,50,65,175,105,150,130,70,85,195,125,170,"とびだすなかみ,せいしんりょく,いたずらごころ,しんりょく,トレース,マジックミラー,マジックガード,シンクロ,いかく,ぶきよう","Innards out,Inner focus,Prankster,Overgrow,Trace,Magic bounce,Magic guard,Synchronize,Intimidate,Klutz"
カイリキー,Machamp,かくとう,Fighting,,,90,130,80,65,85,55,165,150,100,85,105,75,"てつのこぶし,ノーガード,マイナス,マイペース,ちからずく,こんじょう,ふくつのこころ,ぶきよう","Iron fist,No guard,Minus,Own tempo,Sheer force,Guts,Steadfast,Klutz"
ウツボット,Victreebel,くさ,Grass,どく,Poison,80,105,65,100,70,70,155,125,85,120,90,90,"ひでり,ぼうじん,とびだすなかみ,がんじょう,しんりょく,トレース,ぎたい,どくのトゲ,ようりょくそ,くいしんぼう,そうしょく,しぜんかいふく,マジックガード,テクニシャン","Drought,Overcoat,Innards out,Sturdy,Overgrow,Trace,Mimicry,Poison point,Chlorophyll,Gluttony,Sap sipper,Natural cure,Magic guard,Technician"
メガウツボット,メガウツボット,くさ,Grass,どく,Poison,80,125,85,135,95,70,155,145,105,155,115,90,"ひでり,ぼうじん,とびだすなかみ,がんじょう,しんりょく,トレース,ぎたい,どくのトゲ,ようりょくそ,くいしんぼう,そうしょく,しぜんかいふく,マジックガード,テクニシャン","Drought,Overcoat,Innards out,Sturdy,Overgrow,Trace,Mimicry,Poison point,Chlorophyll,Gluttony,Sap sipper,Natural cure,Magic guard,Technician"
ヤドラン（RFあり）,ヤドラン（RFあり）,みず,Water,エスパー,Psychic,95,75,110,100,80,30,170,95,130,120,100,50,"ぼうおん,なまけ,クイックドロウ,マイペース,トレース,どんかん,かたやぶり,シェルアーマー,ほうし,さいせいりょく,きみょうなくすり,いかく,てんねん","Soundproof,Truant,Quick draw,Own tempo,Trace,Oblivious,Mold breaker,Shell armor,Effect spore,Regenerator,Curious medicine,Intimidate,Unaware"
メガヤドラン,メガヤドラン,みず,Water,エスパー,Psychic,95,75,180,130,80,30,170,95,200,150,100,50,"ぼうおん,なまけ,クイックドロウ,マイペース,トレース,どんかん,かたやぶり,シェルアーマー,ほうし,さいせいりょく,きみょうなくすり,いかく,てんねん","Soundproof,Truant,Quick draw,Own tempo,Trace,Oblivious,Mold breaker,Shell armor,Effect spore,Regenerator,Curious medicine,Intimidate,Unaware"
ゲンガー,Gengar,ゴースト,Ghost,どく,Poison,60,65,60,130,75,110,135,85,80,150,95,130,"すりぬけ,すいほう,のろわれボディ,クリアボディ,いたずらごころ,トレース,かそく,かげふみ,ぼうだん,ゆきがくれ,ふしょく","Infiltrator,Water bubble,Cursed body,Clear body,Prankster,Trace,Speed boost,Shadow tag,Bulletproof,Snow cloak,Corrosion"
メガゲンガー,メガゲンガー,ゴースト,Ghost,どく,Poison,60,65,80,170,95,130,135,85,100,190,115,150,"すりぬけ,すいほう,のろわれボディ,クリアボディ,いたずらごころ,トレース,かそく,かげふみ,ぼうだん,ゆきがくれ,ふしょく","Infiltrator,Water bubble,Cursed body,Clear body,Prankster,Trace,Speed boost,Shadow tag,Bulletproof,Snow cloak,Corrosion"
ガルーラ,Kangaskhan,ノーマル,Normal,,,105,95,80,40,80,90,180,115,100,60,100,110,"マルチスケイル,はやてのつばさ,ふみん,かげふみ,ふゆう,ミイラ,いかく,サンパワー,いたずらごころ,はりきり,てきおうりょく,さめはだ,おやこあい,すてみ,せいしんりょく,はやおき,てつのトゲ,てんねん,てつのこぶし,すりぬけ,きもったま,ばけのかわ,がんじょう,のろわれボディ,しんりょく,せいぎのこころ","Multiscale,Gale wings,Insomnia,Shadow tag,Levitate,Mummy,Intimidate,Solar power,Prankster,Hustle,Adaptability,Rough skin,Parental bond,Reckless,Inner focus,Early bird,Iron barbs,Unaware,Iron fist,Infiltrator,Scrappy,Disguise,Sturdy,Cursed body,Overgrow,Justified"
メガガルーラ,メガガルーラ,ノーマル,Normal,,,105,125,100,60,100,100,180,145,120,80,120,120,"マルチスケイル,はやてのつばさ,ふみん,かげふみ,ふゆう,ミイラ,いかく,サンパワー,いたずらごころ,はりきり,てきおうりょく,さめはだ,おやこあい,すてみ,せいしんりょく,はやおき,てつのトゲ,てんねん,てつのこぶし,すりぬけ,きもったま,ばけのかわ,がんじょう,のろわれボディ,しんりょく,せいぎのこころ","Multiscale,Gale wings,Insomnia,Shadow tag,Levitate,Mummy,Intimidate,Solar power,Prankster,Hustle,Adaptability,Rough skin,Parental bond,Reckless,Inner focus,Early bird,Iron barbs,Unaware,Iron fist,Infiltrator,Scrappy,Disguise,Sturdy,Cursed body,Overgrow,Justified"
スターミー,Starmie,みず,Water,エスパー,Psychic,60,75,85,100,85,115,135,95,105,120,105,135,"ノーガード,すいすい,はっこう,トレース,へんげんじざい,しぜんかいふく,ふゆう,げきりゅう,ちからもち,アナライズ","No guard,Swift swim,Illuminate,Trace,Protean,Natural cure,Levitate,Torrent,Huge power,Analytic"
メガスターミー,メガスターミー,みず,Water,エスパー,Psychic,60,100,105,130,105,120,135,120,125,150,125,140,"ノーガード,すいすい,はっこう,トレース,へんげんじざい,しぜんかいふく,ふゆう,げきりゅう,ちからもち,アナライズ","No guard,Swift swim,Illuminate,Trace,Protean,Natural cure,Levitate,Torrent,Huge power,Analytic"
カイロス,Pinsir,むし,Bug,,,65,125,100,55,70,85,140,145,120,75,90,105,"かいりきバサミ,ふゆう,こんじょう,いかく,スカイスキン,ミラーアーマー,むしのしらせ,じしんかじょう,せいしんりょく,あまのじゃく,マジックミラー,じきゅうりょく,カブトアーマー,がんじょう,まけんき,クリアボディ,しんりょく,かたやぶり,シェルアーマー,じょおうのいげん","Hyper cutter,Levitate,Guts,Intimidate,Aerilate,Mirror armor,Swarm,Moxie,Inner focus,Contrary,Magic bounce,Stamina,Battle armor,Sturdy,Defiant,Clear body,Overgrow,Mold breaker,Shell armor,Queenly majesty"
メガカイロス,メガカイロス,むし,Bug,ひこう,Flying,65,155,120,65,90,105,140,175,140,85,110,125,"かいりきバサミ,ふゆう,こんじょう,いかく,スカイスキン,ミラーアーマー,むしのしらせ,じしんかじょう,せいしんりょく,あまのじゃく,マジックミラー,じきゅうりょく,カブトアーマー,がんじょう,まけんき,クリアボディ,しんりょく,かたやぶり,シェルアーマー,じょおうのいげん","Hyper cutter,Levitate,Guts,Intimidate,Aerilate,Mirror armor,Swarm,Moxie,Inner focus,Contrary,Magic bounce,Stamina,Battle armor,Sturdy,Defiant,Clear body,Overgrow,Mold breaker,Shell armor,Queenly majesty"
ケンタロス（RFあり）,ケンタロス（RFあり）,ノーマル,Normal,,,75,100,95,40,70,110,150,120,115,60,90,130,"きもったま,すてみ,まけんき,クリアボディ,いかりのつぼ,トレース,ちからずく,かちき,いかく,はんすう","Scrappy,Reckless,Defiant,Clear body,Anger point,Trace,Sheer force,Competitive,Intimidate,Cud chew"
ギャラドス,Gyarados,みず,Water,ひこう,Flying,95,125,79,60,100,81,170,145,99,80,120,101,"マルチスケイル,ちょすい,かんそうはだ,いかく,がんじょうあご,いたずらごころ,トレース,あめうけざら,じしんかじょう,へんげんじざい,ぼうおん,するどいめ,せいしんりょく,てんねん,きもったま,ばけのかわ,がんじょう,まけんき,しんりょく,かたやぶり,あめふらし","Multiscale,Water absorb,Dry skin,Intimidate,Strong jaw,Prankster,Trace,Rain dish,Moxie,Protean,Soundproof,Keen eye,Inner focus,Unaware,Scrappy,Disguise,Sturdy,Defiant,Overgrow,Mold breaker,Drizzle"
メガギャラドス,メガギャラドス,みず,Water,あく,Dark,95,155,109,70,130,81,170,175,129,90,150,101,"マルチスケイル,ちょすい,かんそうはだ,いかく,がんじょうあご,いたずらごころ,トレース,あめうけざら,じしんかじょう,へんげんじざい,ぼうおん,するどいめ,せいしんりょく,てんねん,きもったま,ばけのかわ,がんじょう,まけんき,しんりょく,かたやぶり,あめふらし","Multiscale,Water absorb,Dry skin,Intimidate,Strong jaw,Prankster,Trace,Rain dish,Moxie,Protean,Soundproof,Keen eye,Inner focus,Unaware,Scrappy,Disguise,Sturdy,Defiant,Overgrow,Mold breaker,Drizzle"
メタモン,Ditto,ノーマル,Normal,,,48,48,48,48,48,48,123,68,68,68,68,68,"イリュージョン,ばけのかわ,ダウンロード,じゅうなん,プレッシャー,かわりもの,ふゆう,かがくへんかガス,いかく","Illusion,Disguise,Download,Limber,Pressure,Imposter,Levitate,Neutralizing gas,Intimidate"
シャワーズ,Vaporeon,みず,Water,,,130,65,60,110,95,65,205,85,80,130,115,85,"ふしぎなうろこ,うるおいボディ,ちょすい,トレース,よびみず,メロメロボディ,かたやぶり,こんじょう,かちき,かんそうはだ","Marvel scale,Hydration,Water absorb,Trace,Storm drain,Cute charm,Mold breaker,Guts,Competitive,Dry skin"
サンダース,Jolteon,でんき,Electric,,,65,65,60,110,95,130,140,85,80,130,115,150,"せいでんき,すいすい,ちくでん,かるわざ,がんじょう,トレース,ひらいしん,はやあし","Static,Swift swim,Volt absorb,Unburden,Sturdy,Trace,Lightning rod,Quick feet"
ブースター,Flareon,ほのお,Fire,,,65,130,60,95,110,65,140,150,80,115,130,85,"すてみ,もらいび,がんじょう,せいぎのこころ,むしのしらせ,じしんかじょう,かたやぶり,こんじょう,ほうし,とうそうしん,テクニシャン,いかく","Reckless,Flash fire,Sturdy,Justified,Swarm,Moxie,Mold breaker,Guts,Effect spore,Rivalry,Technician,Intimidate"
プテラ,Aerodactyl,いわ,Rock,ひこう,Flying,80,105,65,60,75,130,155,125,85,80,95,150,"ぼうおん,せいでんき,いたずらごころ,トレース,プレッシャー,じんばいったい,いしあたま,かたいツメ,きんちょうかん","Soundproof,Static,Prankster,Trace,Pressure,As one,Rock head,Tough claws,Unnerve"
メガプテラ,メガプテラ,いわ,Rock,ひこう,Flying,80,135,85,70,95,150,155,155,105,90,115,170,"ぼうおん,せいでんき,いたずらごころ,トレース,プレッシャー,じんばいったい,いしあたま,かたいツメ,きんちょうかん","Soundproof,Static,Prankster,Trace,Pressure,As one,Rock head,Tough claws,Unnerve"
カビゴン,Snorlax,ノーマル,Normal,,,160,110,65,65,110,30,235,130,85,85,130,50,"すてみ,ばけのかわ,あついしぼう,トレース,めんえき,ほおぶくろ,くいしんぼう,かたやぶり,ものひろい","Reckless,Disguise,Thick fat,Trace,Immunity,Cheek pouch,Gluttony,Mold breaker,Pickup"
カイリュー,Dragonite,ドラゴン,Dragon,ひこう,Flying,91,134,95,100,100,80,166,154,115,120,120,100,"ぼうおん,じきゅうりょく,マルチスケイル,せいしんりょく,しんりょく,トレース,かたやぶり,ノーてんき,しぜんかいふく,ほうし,いかく,てんねん","Soundproof,Stamina,Multiscale,Inner focus,Overgrow,Trace,Mold breaker,Cloud nine,Natural cure,Effect spore,Intimidate,Unaware"
メガカイリュー,メガカイリュー,ドラゴン,Dragon,ひこう,Flying,91,124,115,145,125,100,166,144,135,165,145,120,"ぼうおん,じきゅうりょく,マルチスケイル,せいしんりょく,しんりょく,トレース,かたやぶり,ノーてんき,しぜんかいふく,ほうし,いかく,てんねん","Soundproof,Stamina,Multiscale,Inner focus,Overgrow,Trace,Mold breaker,Cloud nine,Natural cure,Effect spore,Intimidate,Unaware"
フシギバナ,Venusaur,くさ,Grass,どく,Poison,80,82,83,100,100,80,155,102,103,120,120,100,"ムラっけ,ぼうじん,あついしぼう,まけんき,しんりょく,あまのじゃく,ようりょくそ,ふみん,もうか,かたやぶり,そうしょく,げきりゅう,ぼうだん","Moody,Overcoat,Thick fat,Defiant,Overgrow,Contrary,Chlorophyll,Insomnia,Blaze,Mold breaker,Sap sipper,Torrent,Bulletproof"
メガフシギバナ,メガフシギバナ,くさ,Grass,どく,Poison,80,100,123,122,120,80,155,120,143,142,140,100,"ムラっけ,ぼうじん,あついしぼう,まけんき,しんりょく,あまのじゃく,ようりょくそ,ふみん,もうか,かたやぶり,そうしょく,げきりゅう,ぼうだん","Moody,Overcoat,Thick fat,Defiant,Overgrow,Contrary,Chlorophyll,Insomnia,Blaze,Mold breaker,Sap sipper,Torrent,Bulletproof"
リザードン,Charizard,ほのお,Fire,ひこう,Flying,78,84,78,109,85,100,153,104,98,129,105,120,"ひでり,サンパワー,じきゅうりょく,いたずらごころ,トレース,はやてのつばさ,ほのおのからだ,ようりょくそ,もうか,こんじょう,ほうし,すなおこし,かたいツメ,いかく","Drought,Solar power,Stamina,Prankster,Trace,Gale wings,Flame body,Chlorophyll,Blaze,Guts,Effect spore,Sand stream,Tough claws,Intimidate"
メガリザードンX,メガリザードンX,ほのお,Fire,ドラゴン,Dragon,78,130,111,130,85,100,153,150,131,150,105,120,"ひでり,サンパワー,じきゅうりょく,いたずらごころ,トレース,はやてのつばさ,ほのおのからだ,ようりょくそ,もうか,こんじょう,ほうし,すなおこし,かたいツメ,いかく","Drought,Solar power,Stamina,Prankster,Trace,Gale wings,Flame body,Chlorophyll,Blaze,Guts,Effect spore,Sand stream,Tough claws,Intimidate"
メガリザードンY,メガリザードンY,ほのお,Fire,ひこう,Flying,78,104,78,159,115,100,153,124,98,179,135,120,"ひでり,サンパワー,じきゅうりょく,いたずらごころ,トレース,はやてのつばさ,ほのおのからだ,ようりょくそ,もうか,こんじょう,ほうし,すなおこし,かたいツメ,いかく","Drought,Solar power,Stamina,Prankster,Trace,Gale wings,Flame body,Chlorophyll,Blaze,Guts,Effect spore,Sand stream,Tough claws,Intimidate"
カメックス,Blastoise,みず,Water,,,79,83,100,85,105,78,154,103,120,105,125,98,"ぼうおん,すじがねいり,ばけのかわ,メガランチャー,マルチスケイル,がんじょう,ちょすい,スキルリンク,トレース,ちからずく,あめうけざら,プラス,げきりゅう,ひらいしん,いかく,てんねん","Soundproof,Stalwart,Disguise,Mega launcher,Multiscale,Sturdy,Water absorb,Skill link,Trace,Sheer force,Rain dish,Plus,Torrent,Lightning rod,Intimidate,Unaware"
メガカメックス,メガカメックス,みず,Water,,,79,103,120,135,115,78,154,123,140,155,135,98,"ぼうおん,すじがねいり,ばけのかわ,メガランチャー,マルチスケイル,がんじょう,ちょすい,スキルリンク,トレース,ちからずく,あめうけざら,プラス,げきりゅう,ひらいしん,いかく,てんねん","Soundproof,Stalwart,Disguise,Mega launcher,Multiscale,Sturdy,Water absorb,Skill link,Trace,Sheer force,Rain dish,Plus,Torrent,Lightning rod,Intimidate,Unaware"
スピアー,Beedrill,むし,Bug,どく,Poison,65,90,40,45,80,75,140,110,60,65,100,95,"スナイパー,まけんき,トレース,むしのしらせ,てきおうりょく,ぼうだん,ふゆう","Sniper,Defiant,Trace,Swarm,Adaptability,Bulletproof,Levitate"
メガスピアー,メガスピアー,むし,Bug,どく,Poison,65,150,40,15,80,145,140,170,60,35,100,165,"スナイパー,まけんき,トレース,むしのしらせ,てきおうりょく,ぼうだん,ふゆう","Sniper,Defiant,Trace,Swarm,Adaptability,Bulletproof,Levitate"
ピジョット,Pidgeot,ノーマル,Normal,ひこう,Flying,83,80,75,70,70,101,158,100,95,90,90,121,"ちどりあし,ノーガード,すてみ,はとむね,トレース,あめうけざら,かたやぶり,へんげんじざい,すながくれ,あめふらし,するどいめ","Tangled feet,No guard,Reckless,Big pecks,Trace,Rain dish,Mold breaker,Protean,Sand veil,Drizzle,Keen eye"
メガピジョット,メガピジョット,ノーマル,Normal,ひこう,Flying,83,80,80,135,80,121,158,100,100,155,100,141,"ちどりあし,ノーガード,すてみ,はとむね,トレース,あめうけざら,かたやぶり,へんげんじざい,すながくれ,あめふらし,するどいめ","Tangled feet,No guard,Reckless,Big pecks,Trace,Rain dish,Mold breaker,Protean,Sand veil,Drizzle,Keen eye"
アーボック,Arbok,どく,Poison,,,60,95,69,65,79,80,135,115,89,85,99,100,"すりぬけ,じきゅうりょく,すいすい,まけんき,マジックミラー,どくのトゲ,じんばいったい,いかく,きんちょうかん,せいぎのこころ,だっぴ","Infiltrator,Stamina,Swift swim,Defiant,Magic bounce,Poison point,As one,Intimidate,Unnerve,Justified,Shed skin"
ピカチュウ,Pikachu,でんき,Electric,,,35,55,40,50,50,90,110,75,60,70,70,110,"せいでんき,テレパシー,さめはだ,まけんき,あまのじゃく,かたやぶり,サーフテール,ひらいしん,いかく","Static,Telepathy,Rough skin,Defiant,Contrary,Mold breaker,Surge surfer,Lightning rod,Intimidate"
ライチュウ（RFあり）,ライチュウ（RFあり）,でんき,Electric,,,60,90,55,90,80,110,135,110,75,110,100,130,"サーフテール,せいでんき,トレース,ひらいしん","Surge surfer,Static,Trace,Lightning rod"
ピクシー,Clefable,フェアリー,Fairy,,,95,70,73,95,90,60,170,90,93,115,110,80,"きけんよち,すてみ,もらいび,さめはだ,ゆうばく,トレース,いやしのこころ,マジックミラー,もうか,メロメロボディ,かたやぶり,ほうし,ひらいしん,マジックガード,しめりけ,てんねん","Anticipation,Reckless,Flash fire,Rough skin,Aftermath,Trace,Healer,Magic bounce,Blaze,Cute charm,Mold breaker,Effect spore,Lightning rod,Magic guard,Damp,Unaware"
メガピクシー,メガピクシー,フェアリー,Fairy,ひこう,Flying,95,80,93,135,110,70,170,100,113,155,130,90,"きけんよち,すてみ,もらいび,さめはだ,ゆうばく,トレース,いやしのこころ,マジックミラー,もうか,メロメロボディ,かたやぶり,ほうし,ひらいしん,マジックガード,しめりけ,てんねん","Anticipation,Reckless,Flash fire,Rough skin,Aftermath,Trace,Healer,Magic bounce,Blaze,Cute charm,Mold breaker,Effect spore,Lightning rod,Magic guard,Damp,Unaware"
キュウコン（RFあり）,キュウコン（RFあり）,ほのお,Fire,,,73,76,75,81,100,100,148,96,95,101,120,120,"ひでり,サンパワー,ゆきふらし,もらいび,しろいけむり,いたずらごころ,トレース,ようりょくそ,ゆきがくれ,こんじょう,ほうし,シェルアーマー","Drought,Solar power,Snow warning,Flash fire,White smoke,Prankster,Trace,Chlorophyll,Snow cloak,Guts,Effect spore,Shell armor"
ウインディ（RFあり）,ウインディ（RFあり）,ほのお,Fire,,,90,110,80,100,80,95,165,130,100,120,100,115,"ぼうおん,ばけのかわ,ぼうじん,もらいび,ねつこうかん,まけんき,トレース,いしあたま,もうか,こんじょう,ほうし,かちき,せいぎのこころ,いかく","Soundproof,Disguise,Overcoat,Flash fire,Thermal exchange,Defiant,Trace,Rock head,Blaze,Guts,Effect spore,Competitive,Justified,Intimidate"
フーディン,Alakazam,エスパー,Psychic,,,55,50,45,135,95,120,130,70,65,155,115,140,"とびだすなかみ,せいしんりょく,いたずらごころ,しんりょく,トレース,マジックミラー,マジックガード,シンクロ,いかく,ぶきよう","Innards out,Inner focus,Prankster,Overgrow,Trace,Magic bounce,Magic guard,Synchronize,Intimidate,Klutz"
メガフーディン,メガフーディン,エスパー,Psychic,,,55,50,65,175,105,150,130,70,85,195,125,170,"とびだすなかみ,せいしんりょく,いたずらごころ,しんりょく,トレース,マジックミラー,マジックガード,シンクロ,いかく,ぶきよう","Innards out,Inner focus,Prankster,Overgrow,Trace,Magic bounce,Magic guard,Synchronize,Intimidate,Klutz"
カイリキー,Machamp,かくとう,Fighting,,,90,130,80,65,85,55,165,150,100,85,105,75,"てつのこぶし,ノーガード,マイナス,マイペース,ちからずく,こんじょう,ふくつのこころ,ぶきよう","Iron fist,No guard,Minus,Own tempo,Sheer force,Guts,Steadfast,Klutz"
ウツボット,Victreebel,くさ,Grass,どく,Poison,80,105,65,100,70,70,155,125,85,120,90,90,"ひでり,ぼうじん,とびだすなかみ,がんじょう,しんりょく,トレース,ぎたい,どくのトゲ,ようりょくそ,くいしんぼう,そうしょく,しぜんかいふく,マジックガード,テクニシャン","Drought,Overcoat,Innards out,Sturdy,Overgrow,Trace,Mimicry,Poison point,Chlorophyll,Gluttony,Sap sipper,Natural cure,Magic guard,Technician"
