No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0711,パンプジン(大玉),パンプジン(大玉),ゴースト,Ghost,くさ,Grass,75,95,122,58,75,69,150,115,142,78,95,89
0711,パンプジン(ギガ玉),パンプジン(ギガ玉),ゴースト,Ghost,くさ,Grass,85,100,122,58,75,54,160,120,142,78,95,74
0713,クレベース（RFあり）,クレベース（RFあり）,こおり,Ice,,,95,117,184,44,46,28,170,137,204,64,66,48
0715,オンバーン,Noivern,ひこう,Flying,ドラゴン,Dragon,85,70,80,97,80,123,160,90,100,117,100,143
0652,ブリガロン,Chesnaught,くさ,Grass,かくとう,Fighting,88,107,122,74,75,64,163,127,142,94,95,84
0652,メガブリガロン,メガブリガロン,くさ,Grass,かくとう,Fighting,88,137,172,74,115,44,163,157,192,94,135,64
0655,マフォクシー,Delphox,ほのお,Fire,エスパー,Psychic,75,69,72,114,100,104,150,89,92,134,120,124
0655,メガマフォクシー,メガマフォクシー,ほのお,Fire,エスパー,Psychic,75,69,72,159,125,134,150,89,92,179,145,154
0658,ゲッコウガ,Greninja,みず,Water,あく,Dark,72,95,67,103,71,122,147,115,87,123,91,142
0658,メガゲッコウガ,メガゲッコウガ,みず,Water,あく,Dark,72,125,77,133,81,142,147,145,97,153,101,162
0660,ホルード,Diggersby,ノーマル,Normal,じめん,Ground,85,56,77,50,77,78,160,76,97,70,97,98
0663,ファイアロー,Talonflame,ほのお,Fire,ひこう,Flying,78,81,71,74,69,126,153,101,91,94,89,146
0666,ビビヨン,Vivillon,むし,Bug,ひこう,Flying,80,52,50,90,50,89,155,72,70,110,70,109
0671,フラージェス,Florges,フェアリー,Fairy,,,78,65,68,112,154,75,153,85,88,132,174,95
0675,ゴロンダ,Pangoro,かくとう,Fighting,あく,Dark,95,124,78,69,71,58,170,144,98,89,91,78
0676,トリミアン,Furfrou,ノーマル,Normal,,,75,80,60,65,90,102,150,100,80,85,110,122
0678,ニャオニクス♂,ニャオニクス♂,エスパー,Psychic,,,74,48,76,83,81,104,149,68,96,103,101,124
0678,ニャオニクス♀,ニャオニクス♀,エスパー,Psychic,,,74,48,76,83,81,104,149,68,96,103,101,124
0678,メガニャオニクス♂,メガニャオニクス♂,エスパー,Psychic,,,74,48,76,143,101,124,149,68,96,163,121,144
0678,メガニャオニクス♀,メガニャオニクス♀,エスパー,Psychic,,,74,48,76,143,101,124,149,68,96,163,121,144
0681,ギルガルド(シールド),ギルガルド(シールド),はがね,,ゴースト,Ghost,60,50,150,50,150,60,135,70,170,70,170,80
0681,ギルガルド(ブレード),ギルガルド(ブレード),はがね,,ゴースト,Ghost,60,150,50,150,50,60,135,170,70,170,70,80
0683,フレフワン,Aromatisse,フェアリー,Fairy,,,101,72,72,99,89,29,176,92,92,119,109,49
0685,ペロリーム,Slurpuff,フェアリー,Fairy,,,82,80,86,85,75,72,157,100,106,105,95,92
0693,ブロスター,Clawitzer,みず,Water,,,71,73,88,120,89,59,146,93,108,140,109,79
0695,エレザード,Heliolisk,でんき,Electric,ノーマル,Normal,62,55,52,109,94,109,137,75,72,129,114,129
0697,ガチゴラス,Tyrantrum,いわ,Rock,ドラゴン,Dragon,82,121,119,69,59,71,157,141,139,89,79,91
0699,アマルルガ,Aurorus,いわ,Rock,こおり,Ice,123,77,72,99,92,58,198,97,92,119,112,78
0700,ニンフィア,Sylveon,フェアリー,Fairy,,,95,65,65,110,130,60,170,85,85,130,150,80
0701,ルチャブル,Hawlucha,かくとう,Fighting,ひこう,Flying,78,92,75,74,63,118,153,112,95,94,83,138
0701,メガルチャブル,メガルチャブル,かくとう,Fighting,ひこう,Flying,78,137,100,74,93,118,153,157,120,94,113,138
0702,デデンネ,Dedenne,でんき,Electric,フェアリー,Fairy,67,58,57,81,67,101,142,78,77,101,87,121
0706,ヌメルゴン（RFあり）,ヌメルゴン（RFあり）,ドラゴン,Dragon,,,90,100,70,110,150,80,165,120,90,130,170,100
0707,クレッフィ,Klefki,はがね,,フェアリー,Fairy,57,80,91,80,87,75,132,100,111,100,107,95
0709,オーロット,Trevenant,ゴースト,Ghost,くさ,Grass,85,110,76,65,82,56,160,130,96,85,102,76
0711,パンプジン(中玉),パンプジン(中玉),ゴースト,Ghost,くさ,Grass,65,90,122,58,75,84,140,110,142,78,95,104
0711,パンプジン(小玉),パンプジン(小玉),ゴースト,Ghost,くさ,Grass,55,85,122,58,75,99,130,105,142,78,95,119
0711,パンプジン(大玉),パンプジン(大玉),ゴースト,Ghost,くさ,Grass,75,95,122,58,75,69,150,115,142,78,95,89
0711,パンプジン(ギガ玉),パンプジン(ギガ玉),ゴースト,Ghost,くさ,Grass,85,100,122,58,75,54,160,120,142,78,95,74
0713,クレベース（RFあり）,クレベース（RFあり）,こおり,Ice,,,95,117,184,44,46,28,170,137,204,64,66,48
0715,オンバーン,Noivern,ひこう,Flying,ドラゴン,Dragon,85,70,80,97,80,123,160,90,100,117,100,143
